Version,Size,Run,Time_s,Energy_Joules
3,1024,1,0.030,1.78
3,1024,2,0.028,1.71
3,1024,3,0.023,1.45
3,1024,4,0.023,1.38
3,1024,5,0.023,1.41
3,1024,6,0.029,1.48
3,1024,7,0.024,1.48
3,1024,8,0.023,1.40
3,1024,9,0.023,1.41
3,1024,10,0.023,1.42
3,2048,1,0.380,20.93
3,2048,2,0.380,20.98
3,2048,3,0.387,21.52
3,2048,4,0.397,21.49
3,2048,5,0.375,21.03
3,2048,6,0.381,21.21
3,2048,7,0.386,21.45
3,2048,8,0.385,21.45
3,2048,9,0.362,20.32
3,2048,10,0.384,21.39
3,3072,1,1.330,73.15
3,3072,2,1.288,67.11
3,3072,3,1.353,59.67
3,3072,4,1.287,55.58
3,3072,5,1.349,57.93
3,3072,6,1.332,56.73
3,3072,7,1.364,57.78
3,3072,8,1.336,57.08
3,3072,9,1.309,57.02
3,3072,10,1.354,57.40
